id_track,duration_sec,end_of_fade_in,start_of_fade_out,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,bars,beats,sections,segments,tatums
6V2QgOIMT94HhsfeIVbbZm,192.53302,0.26712,186.43883,-7.865,124.022,0.947,4,1.0,6,0.413,0,0.544,96,391,6,833,782
4upw9RT8Cs96EQhCuoNryV,186.55927,0.0,186.55928,-7.713,99.932,0.004,4,0.987,9,0.369,1,0.466,78,310,9,663,620
6y4ySPeb68KGoAi1dk130F,299.23264,0.0,290.52228,-4.463,102.959,0.695,4,0.981,8,0.206,1,0.404,126,505,9,1051,1010
47uoSjqgclu4zjv3TV6aBG,183.70662,0.29896,171.7522,-3.386,123.017,0.862,4,1.0,1,0.284,0,0.298,91,368,8,909,736
1SbsbLsUMnAKWHx1zAV6ER,589.09485,0.13918,582.2984,-16.843,120.378,0.049,4,0.967,0,0.625,0,0.756,339,1355,22,1628,2710
0NWQTyapmz4GuDTSN9xTB7,178.92,0.23651,178.92,-4.098,149.945,0.475,4,1.0,2,0.366,0,0.411,110,443,7,653,886
39rqDP2s2hN1JtXptyeM3u,195.46667,0.0,190.66486,-4.442,127.967,0.857,4,0.975,5,0.567,0,0.737,103,413,11,726,826
48KprKXSaqDzGCO8SAnv8s,111.20834,0.10857,100.46113,-10.809,170.684,0.347,3,1.0,8,0.312,1,0.471,98,299,6,350,598
2yJp6vppbtc0LyqUGVmwee,332.88,0.95719,306.1493,-33.948,58.201,0.049,4,0.693,2,0.451,1,0.614,73,295,9,521,590
4mToVZMYxUrYFQ0OlkG2Ck,209.80817,0.16726,201.99619,-10.1,113.586,0.65,4,1.0,8,0.432,1,0.553,96,386,9,663,772
669yRYY5pluCp5dYOcDMDD,120.72,7.24463,109.85361,-15.86,80.572,0.212,4,0.966,5,0.595,1,0.565,37,153,7,319,306
14iF9JDX0AOxkoa8BL2WYB,366.31995,0.0,357.20416,-6.952,90.022,0.209,4,0.31,6,0.513,1,0.585,137,546,13,1160,1092
4Cuyv8LmfYvlatEuTHDT8U,244.82277,0.0,234.32999,-7.986,72.343,0.067,4,0.036,7,0.386,0,0.457,79,316,11,736,632
2tmzt44PTO2H5N4wLJhy2Z,224.38667,0.0,217.1182,-5.68,92.507,0.295,4,1.0,1,0.365,0,0.531,86,346,9,974,692
0Bgd1ABS94lhwYDCEQHpsP,344.73334,0.0,344.73334,-7.002,140.023,0.407,4,0.969,3,0.327,1,0.56,202,804,12,1230,1608
05kHI4RsThI6ez9oKnWLHO,254.61333,0.0,254.61333,-3.452,82.924,0.0,4,0.991,7,0.471,1,0.564,87,348,13,742,696
2J2f58QGLLvGgW3ct21HSD,446.66666,0.23079,433.74295,-5.426,112.403,0.171,4,0.964,5,0.186,0,0.434,199,785,15,1520,1570
5vezDgJwPdzShINRcX7MdN,155.5,0.16041,150.97615,-10.969,81.107,0.547,4,0.97,4,0.623,1,0.557,51,209,7,604,418
1zx6GSqLYI2ynzAHnPRKBR,265.79828,0.0,258.49615,-10.914,143.789,0.005,4,1.0,3,0.221,1,0.47,155,623,9,800,1246
